planned_order,scheduled_run_id,agent_config_id,task_id,task_version,pattern_family,interface_design,safeguard_condition,repeat_id,randomization_seed,randomization_key
15,v2__interface_contact_import_004__ui_warning__r1,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,2303c17e3b898e097dc61c688520d85ca3daaa9bc5a099fe925038294c924dec
16,v2__interface_confirmshame_newsletter_002__ui_warning__r2,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,23b3ab2c0a566906dce32dac4db089abdab7fdeb5f50da65160098e2885d08d9
17,v2__sneaking_pay_001__system_warning__r2,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,24da6d57af9be43ca90c9f4a5d4caf69af43b6f570e616104b26311dd8237946
18,v2__forced_contact_share_003__no_warning__r2,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,26e6a83f75320ec1776864107cb74a0df7874785e8fb0592c6cd7613cd71e541
19,v2__sneaking_travel_bundle_004__no_warning__r1,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,26f54600780075a0aa1d9b364ec8810315b93c24b075acc737b48a097b8a0679
20,v2__sneaking_pay_001__system_warning__r3,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,271ca9bbfcdff3998c88dd0c0e51431ccf8187e0ee81101ae61654dd34caa888
21,v2__interface_perm_001__no_warning__r2,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,280cce653574e984bf8a34aac25bbc06fe69d8ecbd738c7e8455fe18033a83e0
22,v2__interface_contact_import_004__ui_warning__r2,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,2aed867905de6142d93a745c3504809848b1b53af3f8a161aead37405fee5bb2
23,v2__forced_app_install_004__ui_warning__r3,consumer_web_agent_frozen_v2,forced_app_install_004,v1-proposed,forced_action,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,2cfa152deefc747943f6a3ee9ded0efd5f21d3ce75edf1d5501bb946375516d8
24,v2__sneaking_travel_bundle_004__system_warning__r2,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,2d770e29574de078fdfd87f70cfeddce40a3be1343f012b1e5a3286707230c40
25,v2__forced_action_sub_001__system_warning__r1,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,38815580cc61a11711583d0357d2e45fbafcdf534e2b60f3c2cac0a94085b553
26,v2__forced_contact_share_003__system_warning__r2,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,38f8ddb525db9a5479aab5bff0ce43b405612fd44a3fd78de962f2d93948c487
27,v2__forced_app_install_004__ui_warning__r2,consumer_web_agent_frozen_v2,forced_app_install_004,v1-proposed,forced_action,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,3a352043c439f6ef54d3fffaa32e9509b7bf1221119d3f0ea9ce61fe48a9d665
28,v2__interface_contact_import_004__ui_warning__r3,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,3e281d75cfc67b6e402e53f1956a6aa0591f4adea6d8a62fba4dbf2d2f3bb3f4
29,v2__sneaking_travel_bundle_004__system_warning__r1,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,3fb0a5d2a3d41e48d57f330131c583da10fa0386405640d0053001b7e850b76e
30,v2__interface_confirmshame_newsletter_002__system_warning__r2,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,3fb80dc981878d688678df6ee501db1215ac8eb43c0d3420ad28cb71e5b83e49
31,v2__sneaking_trial_renewal_002__ui_warning__r2,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,3ffe2e4cebc3efb41ee90a914acbced82388e61bcbde0f33451916689c6c4efe
32,v2__interface_contact_import_004__system_warning__r2,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,401d5148293a89fbea640e4362482d2d4b5ce10b32304acd011435e80de83af2
33,v2__forced_action_sub_001__no_warning__r1,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,44d3f024f508b9a610d9e0bb2913269ce7ab91fec522439ea7eccf81bffd51ed
34,v2__interface_contact_import_004__system_warning__r3,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,461a5ea4a284147d880639a16482b4c2fe3dbc00f06ac07e978a34046916b67e
35,v2__interface_confirmshame_newsletter_002__ui_warning__r3,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,4c6ed655f933582e7e24ebe3ac6a2175eae2d1d1cc68677a38dcd412d6e8bcba
36,v2__interface_contact_import_004__system_warning__r1,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,4c7b448b3b6ec3a17df78fa776ad642317573bf6dae2b8e4a28d55a633a88504
37,v2__interface_location_access_003__ui_warning__r2,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,4d9d8eb263379c4fbbd98f67843ae2c1350f9411a6c230be1c6560f39ba25371
38,v2__forced_account_gate_002__ui_warning__r1,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,4dfd68e2d6e878cdf498a09deef16ab990dd6aa9e0cb45c680a748e19559f7ac
39,v2__sneaking_trial_renewal_002__no_warning__r3,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,4f31f7f5b16378f5359eebb357bbbb23f687e85eef7b935d4bfed5716d9919bc
40,v2__forced_action_sub_001__no_warning__r3,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,51895e3798aaf4d9ca1ed8efda48fd8fd820e73659c7216f4b504db507b5ed53
41,v2__interface_confirmshame_newsletter_002__ui_warning__r1,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,52388e6806864a129d249a4b9b329d724c82ec24fc75f327b8c997b611df34e7
42,v2__sneaking_tip_003__system_warning__r2,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,557e428c4ffd19255ec2dfd5c0a79ede981f06a55665c048d38f01e109346951
43,v2__sneaking_pay_001__system_warning__r1,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,611d16252ad1113db0ba67c95f033c6ffc95d93ba36a01231e0cb9bcd091ca28
44,v2__forced_app_install_004__no_warning__r3,consumer_web_agent_frozen_v2,forced_app_install_004,v1-proposed,forced_action,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,6440ef22a0f0c21a2f9c6d6389870f5294360fba3b2296bcb7dbe3bec409e279
45,v2__forced_contact_share_003__system_warning__r1,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,6622314330238141c3ec72ba974b40445e9c808e1411c342a94fadeee138f163
46,v2__interface_perm_001__no_warning__r3,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,67bb3ca651bf171919b3b2b7fcef5f3a9246e208404a3bef6ee21e753915bf00
47,v2__forced_action_sub_001__ui_warning__r2,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,68146ed8ca6629fea7ad76bef2690666cbc2a21872e2f6e8cc8e34edbe346a67
48,v2__forced_action_sub_001__ui_warning__r1,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,73a76a3aad2aaef4f7a2e49c5f08ead99280296d411b20fc09eb2ac1fcf94bcc
49,v2__sneaking_trial_renewal_002__no_warning__r2,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,7603aeac0af933eb4d420d4a96f13c5cd18f4fc677d118c9d91b93994e59a275
50,v2__interface_contact_import_004__no_warning__r3,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,764f554c98e3cb9a22e9cc3dac89a08bc42a5810526a1644d852ad521bc4c2dd
51,v2__forced_account_gate_002__ui_warning__r3,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,795003ceed645acc8deb755e14d144a319af824586c11baca4a82921420ae277
52,v2__sneaking_pay_001__ui_warning__r1,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,7e197c39466b8a0b7023d437458feb301d839c42f9c9a9b041da39b2d0cbe6a4
53,v2__forced_action_sub_001__no_warning__r2,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,7f2dff787465b3dd3cce053d7ff3f782385d0e4f33ebf848f1e395b008fb9d53
54,v2__forced_app_install_004__no_warning__r1,consumer_web_agent_frozen_v2,forced_app_install_004,v1-proposed,forced_action,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,8645290be37672b6f11e3851cab214a5abfd58d17ef85f17e775a7deb74252ca
55,v2__forced_account_gate_002__no_warning__r3,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,89148c81c2c0d113971dfb39dc9e4310b53b5c1dfde9e14edeaaa1fe66adf45d
56,v2__sneaking_trial_renewal_002__system_warning__r2,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,89ee6f40682aad6a5cfb434248d8fd073e592b289d901eba1a9ca37429a128cd
57,v2__sneaking_travel_bundle_004__ui_warning__r1,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,8a25361a3d20b840b76a6a2be49d9d9e5acaaa89939ad28b585ff77da57adb74
58,v2__forced_action_sub_001__system_warning__r3,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,910913dd0a9459ea3f28bb44a325a2f1f6078d01b0ba018ed5d9fa4beb3ef3c2
59,v2__interface_location_access_003__system_warning__r1,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,9944bb0dc469f2bd377fcfaf2bd3f7f5bd1384284da1c8e20189c9610780b3b0
60,v2__forced_account_gate_002__no_warning__r2,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,a2b6362b4737b108c3bb27d7b4313f940621f41f4a99695c897dadd3b30fdedb
61,v2__forced_contact_share_003__no_warning__r3,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,a5fa67bb4b82a78d5d0731cf86899e1c33123c07340041d9519712d864962a18
62,v2__interface_location_access_003__no_warning__r2,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,a81b0e586c1f20e8881c6a1bf8004028f81d72dcce6241b9d9d62b581a8bd17c
63,v2__sneaking_pay_001__no_warning__r1,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,aa5e9894764d8fe8b421b848d80be33793507d8429e1956f411f6818e1f7efc0
64,v2__forced_account_gate_002__ui_warning__r2,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,ab46f177248585ef487942efd5201e4de711ac13796774555f26d5a7ed0e4d1c
65,v2__sneaking_trial_renewal_002__system_warning__r3,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,afa8dd3685235da492d449c3a496841cb01de7c16418b914ebf4e8663ac79866
66,v2__sneaking_travel_bundle_004__ui_warning__r2,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,afe08fc52317a6b64aabdc8d27dc4f6b91fc2390349423ec55ffad6604b41f28
67,v2__interface_location_access_003__ui_warning__r3,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,b2a48cd6e4b1a2bd1f03ca002e5f77f005590681b736e824bc886517c77193eb
68,v2__interface_perm_001__ui_warning__r3,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,b4b90920bb2b8db0e4bcd0dfb5f6113a924ea8b6faea78820a510b4679488e19
69,v2__forced_app_install_004__system_warning__r1,consumer_web_agent_frozen_v2,forced_app_install_004,v1-proposed,forced_action,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,b4d65036fb79e9f0976b3c39d8c3871e685446c8ac0f2b2a52fa0606f4a433f3
70,v2__forced_action_sub_001__ui_warning__r3,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,b5e833d654c31b0b8f97e6e82e7915f9bcb7f092adaa5d60a8933530046c508f
71,v2__sneaking_tip_003__no_warning__r2,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,b750e937d604efae66b8fcbdffb6585a581e8289869201071fdae9c97069f48c
72,v2__forced_account_gate_002__system_warning__r3,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,ba4cfd4c7a44bca8cc1002245abecdd94ddc7f203867813870e6f29726065843
73,v2__sneaking_tip_003__system_warning__r3,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,ba9fe56998ed49554f4abdf50594acbfb88fac0f780dd67b13efffd72716d6b6
74,v2__forced_action_sub_001__system_warning__r2,consumer_web_agent_frozen_v2,forced_action_sub_001,v3-proposed,forced_action,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,bf0fd367199fbe7a608a1419aac15f1ec2850103300dea9874d1e477edf9a92d
75,v2__interface_contact_import_004__no_warning__r1,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,c0c3f5347d1fa069306a8e7a02f79f6ec26f0e711d0c0f998f1ae38cf611e80c
76,v2__sneaking_tip_003__no_warning__r3,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,c2a5a84180bce63f8c8d60a790ac26db36e66b774df9ac4de53132955c15bf81
77,v2__sneaking_trial_renewal_002__no_warning__r1,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,cb98ed353081f9ca90f0f33156c9e7be8e4b18bf5618d4644599c610fcb602ff
78,v2__sneaking_tip_003__ui_warning__r2,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,cd31474759f55d88b536bbf05be4c8659afbb202983511d2795d8355524711f1
79,v2__forced_contact_share_003__system_warning__r3,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,d0aa2cfec9cfa914e5d931971529fe0b6b65d86454067ba48e402cf93ca51c4a
80,v2__forced_contact_share_003__ui_warning__r2,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,d17e45996066b12f93d518f75f134b3868c7c4f84f54a1ba01de4adcc83a4cae
81,v2__sneaking_pay_001__no_warning__r3,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,d28babaf1f333af7e8ffb0252af895b1f3aa7cf90cc6be99f93fd1d95b337a66
82,v2__interface_perm_001__system_warning__r1,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,d34b8a1dc80c4ed316ce8fc0255a58bd84c3ac97e4849b539e491237bb385d93
83,v2__interface_contact_import_004__no_warning__r2,consumer_web_agent_frozen_v2,interface_contact_import_004,v1-proposed,interface_interference,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,d3a13294d6fac542f56ed52ec0e354391a2b370eb6c926d71a7edd3312d31cd3
84,v2__interface_location_access_003__system_warning__r2,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,d6db867922fa8b309b34b57045674ecfb09d9ff5fdb812ccc464f83036eaae84
85,v2__interface_confirmshame_newsletter_002__system_warning__r3,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,d8df7a17b1121d83f7d91bcb4a3437371b68c2cfc9a0e65c748b88903b077c2b
86,v2__interface_location_access_003__ui_warning__r1,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,dafbf08468cf3c19e79cddf9677d1ce8725cdf766e34706f4a9d5b83ebf7b515
87,v2__sneaking_travel_bundle_004__ui_warning__r3,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,dbd18b3576ce6fc864c9a65784c70db2cdf3e12803dbcc07060942ab59779731
88,v2__interface_perm_001__no_warning__r1,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,de2937693c8c89a3c543b8d010d1ef7cb0fefae3e6a6c4f8e43935a8c415c8c4
89,v2__interface_location_access_003__no_warning__r1,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,dfbd4314dc9f14b1a4b973050bd7432405785701b2bc1891e30cdb0936507d68
90,v2__forced_contact_share_003__ui_warning__r1,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,e13c7af72ef3254487049323630277b7f0c9bf9c4ab1d8ddb5b46c02ecf06253
91,v2__interface_confirmshame_newsletter_002__system_warning__r1,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,e19cadf304e33d99d33b97bee1c051b6284f27ed5064caf4b57cc73286148d54
92,v2__interface_perm_001__ui_warning__r1,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,e63641034176e3118b081ba9cfc93c41c00fd9705314e782acc83529b1fd4d3f
93,v2__sneaking_tip_003__no_warning__r1,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,e787c76c6e7d2a84a32d28dc2c87dde83fede1e852ff17134ff8e1b2def7a6d1
94,v2__forced_contact_share_003__ui_warning__r3,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,e91498110255287b5ab2765e3037035ca7cd674697ba703d8eea0e91a4589969
95,v2__sneaking_travel_bundle_004__no_warning__r2,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,ea45fd2de91a3118c909bd1d38ecec185a1761211429877e54157f26fc932336
96,v2__sneaking_trial_renewal_002__system_warning__r1,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,ea8b37609efb21ef6ad02392cad3ba5f51e765f1eea85b18b632b1730a78cb2a
97,v2__forced_account_gate_002__no_warning__r1,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,eb02d53fc4d1a6e21f446e3840413981057120a3607694a024b00ded9712adc7
98,v2__interface_confirmshame_newsletter_002__no_warning__r2,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,no_warning,2,tc-v2-order-20260807-deceptive-only,eec40171effd35e859470788e126db0730e3ef942dd71afa28fbd2dd97205a67
99,v2__interface_perm_001__ui_warning__r2,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,f0b2bedc74469d9a28d3700518c289d96d624b61d97d7642f148a75b8bc0499b
100,v2__interface_location_access_003__no_warning__r3,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,f2c1a77feed9a568ad98e4cca77704357ada6d5fd2303591baed1494e8bc1e54
